customer_id,customer_name,customer_type,country,age,age_group,gender,repeat_guest_flag,email,phone
CID0001,Sanjay Kapoor,Leisure,India,71,65+,Male,0,sanjay.kapoor1@gmail.com,9325681936
CID0002,Shruti Trivedi,Family,India,56,51-65,Female,0,shruti.trivedi2@gmail.com,9574765466
CID0003,Aryan Reddy,Couple,India,68,65+,Male,0,aryan.reddy3@gmail.com,9404713332
CID0004,Shreyash Pillai,Single,India,57,51-65,Female,1,shreyash.pillai4@gmail.com,9906528433
CID0005,Adesh Pillai,Business,India,32,26-35,Male,1,adesh.pillai5@gmail.com,9149621604
CID0006,Umesh Nair,Business,India,72,65+,Male,0,umesh.nair6@gmail.com,9776205431
CID0007,Kumari Shah,Business,Canada,62,51-65,Female,0,kumari.shah7@gmail.com,9361976301
CID0008,Eshaan Bose,Family,Singapore,18,18-25,Male,0,eshaan.bose8@gmail.com,9334978881
CID0009,Divya Trivedi,Couple,Australia,51,51-65,Female,1,divya.trivedi9@gmail.com,9367574609
CID0010,Neha Iyer,Couple,India,69,65+,Female,0,neha.iyer10@gmail.com,9700141462
CID0011,Jyoti Malhotra,Business,India,57,51-65,Female,0,jyoti.malhotra11@gmail.com,9688273030
CID0012,Dipti Kulkarni,Family,India,65,51-65,Female,0,dipti.kulkarni12@gmail.com,9907214179
CID0013,Kavya Pandey,Couple,India,35,26-35,Female,0,kavya.pandey13@gmail.com,9394846763
CID0014,Akash Singh,Business,Canada,36,36-50,Male,1,akash.singh14@gmail.com,9443285529
CID0015,Ujjwal Singh,Business,India,27,26-35,Male,0,ujjwal.singh15@gmail.com,9264073400
CID0016,Meera Singh,Business,India,44,36-50,Female,0,meera.singh16@gmail.com,9546434187
CID0017,Arjun Shah,Leisure,India,42,36-50,Male,0,arjun.shah17@gmail.com,9922050912
CID0018,Varsha Kapoor,Leisure,India,18,18-25,Female,0,varsha.kapoor18@gmail.com,9518744974
CID0019,Nikhil Mishra,Single,Nepal,52,51-65,Male,0,nikhil.mishra19@gmail.com,9393062061
CID0020,Shruti Nair,Leisure,India,42,36-50,Female,0,shruti.nair20@gmail.com,9956998797
CID0021,Kritika Das,Couple,India,71,65+,Female,0,kritika.das21@gmail.com,9768143326
CID0022,Umesh Sharma,Business,India,55,51-65,Male,1,umesh.sharma22@gmail.com,9560219456
CID0023,Rohit Desai,Leisure,India,29,26-35,Male,1,rohit.desai23@gmail.com,9451492250
CID0024,Meera Iyer,Leisure,India,39,36-50,Female,1,meera.iyer24@gmail.com,9993271900
CID0025,Nikhil Verma,Leisure,India,48,36-50,Male,0,nikhil.verma25@gmail.com,9155926488
CID0026,Manish Mehta,Couple,India,22,18-25,Male,0,manish.mehta26@gmail.com,9365518424
CID0027,Karan Pandey,Business,India,57,51-65,Male,1,karan.pandey27@gmail.com,9608482316
CID0028,Neha Saxena,Leisure,India,47,36-50,Female,0,neha.saxena28@gmail.com,9280162221
CID0029,Ayush Agarwal,Leisure,Canada,25,18-25,Male,0,ayush.agarwal29@gmail.com,9216070149
CID0030,Simran Sharma,Business,India,54,51-65,Female,0,simran.sharma30@gmail.com,9867741192
CID0031,Karan Singh,Couple,India,62,51-65,Male,1,karan.singh31@gmail.com,9929445037
CID0032,Pravin Desai,Business,UAE,56,51-65,Male,0,pravin.desai32@gmail.com,9707665448
CID0033,Amit Chopra,Business,India,45,36-50,Female,1,amit.chopra33@gmail.com,9795294275
CID0034,Swati Sharma,Family,India,70,65+,Female,1,swati.sharma34@gmail.com,9488896443
CID0035,Animesh Banerjee,Family,India,45,36-50,Male,0,animesh.banerjee35@gmail.com,9798423334
CID0036,Ritu Agarwal,Couple,India,67,65+,Female,0,ritu.agarwal36@gmail.com,9986625773
CID0037,Ravi Verma,Leisure,India,72,65+,Male,0,ravi.verma37@gmail.com,9193053577
CID0038,Ritu Kulkarni,Business,India,33,26-35,Female,0,ritu.kulkarni38@gmail.com,9817461907
CID0039,Pramila Malhotra,Couple,India,49,36-50,Female,1,pramila.malhotra39@gmail.com,9327761953
CID0040,Ankita Trivedi,Leisure,India,39,36-50,Female,0,ankita.trivedi40@gmail.com,9852890318
CID0041,Ritu Mishra,Business,India,51,51-65,Male,1,ritu.mishra41@gmail.com,9873174285
CID0042,Nikhil Nair,Leisure,India,66,65+,Male,0,nikhil.nair42@gmail.com,9793532952
CID0043,Anjali Iyer,Business,India,23,18-25,Female,1,anjali.iyer43@gmail.com,9842800803
CID0044,Kavya Khanna,Family,India,55,51-65,Female,0,kavya.khanna44@gmail.com,9670073085
CID0045,Bhavna Rao,Single,India,39,36-50,Female,0,bhavna.rao45@gmail.com,9390894296
CID0046,Dhananjay Verma,Couple,India,25,18-25,Male,0,dhananjay.verma46@gmail.com,9897662466
CID0047,Dinesh Mukherjee,Single,Singapore,29,26-35,Male,1,dinesh.mukherjee47@gmail.com,9619904272
CID0048,Ritu Das,Leisure,India,66,65+,Female,0,ritu.das48@gmail.com,9994027897
CID0049,Karan Khanna,Leisure,India,41,36-50,Male,0,karan.khanna49@gmail.com,9860229059
CID0050,Om Gupta,Business,India,20,18-25,Male,0,om.gupta50@gmail.com,9848846217
CID0051,Rohit Bose,Family,India,24,18-25,Male,0,rohit.bose51@gmail.com,9604011128
CID0052,Ritesh Iyer,Couple,India,29,26-35,Male,1,ritesh.iyer52@gmail.com,9612957813
CID0053,Neha Pandey,Family,India,43,36-50,Female,1,neha.pandey53@gmail.com,9775862179
CID0054,Sneha Gupta,Family,India,69,65+,Female,1,sneha.gupta54@gmail.com,9366493008
CID0055,Adesh Mishra,Leisure,India,56,51-65,Male,0,adesh.mishra55@gmail.com,9508427798
